Temperature,Treatment,Percent_Surv,Prop_Surv
39,Control,100,1
39,Acidic,100,1
39.5,Control,96.875,0.96875
39.5,Acidic,90.625,0.90625
40,Control,87.5,0.875
40,Acidic,81.25,0.8125
40.5,Control,40.625,0.40625
40.5,Acidic,31.25,0.3125
41,Control,21.875,0.21875
41,Acidic,12.5,0.125
41.5,Control,3.125,0.03125
41.5,Acidic,3.125,0.03125
42,Control,0,0
42,Acidic,0,0
42.5,Control,0,0
42.5,Acidic,0,0
43,Control,0,0
43,Acidic,0,0
